date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:33	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:33%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:33	1346/1346	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202023%2020:30:18%20GMT	https://www.anahotelandapartments.com/img/lan.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/lan.png	(from https://www.anahotelandapartments.com/)
11:13:34	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:34%20GMT	https://www.anahotelandapartments.com/index.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/index.php	(from https://www.anahotelandapartments.com/)
11:13:34	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:34%20GMT	https://www.anahotelandapartments.com/index.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/index.php	(from https://www.anahotelandapartments.com/)
11:13:34	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:34%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:34	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:34%20GMT	https://www.anahotelandapartments.com/about.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/about.php	(from https://www.anahotelandapartments.com/)
11:13:35	21154/21154	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2010:13:35%20GMT	https://www.anahotelandapartments.com/about	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/about.html	(from https://www.anahotelandapartments.com/)
11:13:35	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:35%20GMT	https://www.anahotelandapartments.com/services.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/services.php	(from https://www.anahotelandapartments.com/)
11:13:35	19029/19029	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2010:13:35%20GMT	https://www.anahotelandapartments.com/services	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/services.html	(from https://www.anahotelandapartments.com/)
11:13:35	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:35%20GMT	https://www.anahotelandapartments.com/gallery.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/gallery.php	(from https://www.anahotelandapartments.com/)
